# bump-shock — Transcritical flow with shock
# SWASHES 3.1.5; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 501 stations (20x model resolution nx=25)
t_s,x_m,h_m,q_m2_per_s
1800,0,0.4137357306,0.18
1800,0.05,0.4137357306,0.18
1800,0.1,0.4137357306,0.18
1800,0.15,0.4137357306,0.18
1800,0.2,0.4137357306,0.18
1800,0.25,0.4137357306,0.18
1800,0.3,0.4137357306,0.18
1800,0.35,0.4137357306,0.18
1800,0.4,0.4137357306,0.18
1800,0.45,0.4137357306,0.18
1800,0.5,0.4137357306,0.18
1800,0.55,0.4137357306,0.18
1800,0.6,0.4137357306,0.18
1800,0.65,0.4137357306,0.18
1800,0.7,0.4137357306,0.18
1800,0.75,0.4137357306,0.18
1800,0.8,0.4137357306,0.18
1800,0.85,0.4137357306,0.18
1800,0.9,0.4137357306,0.18
1800,0.95,0.4137357306,0.18
1800,1,0.4137357306,0.18
1800,1.05,0.4137357306,0.18
1800,1.1,0.4137357306,0.18
1800,1.15,0.4137357306,0.18
1800,1.2,0.4137357306,0.18
1800,1.25,0.4137357306,0.18
1800,1.3,0.4137357306,0.18
1800,1.35,0.4137357306,0.18
1800,1.4,0.4137357306,0.18
1800,1.45,0.4137357306,0.18
1800,1.5,0.4137357306,0.18
1800,1.55,0.4137357306,0.18
1800,1.6,0.4137357306,0.18
1800,1.65,0.4137357306,0.18
1800,1.7,0.4137357306,0.18
1800,1.75,0.4137357306,0.18
1800,1.8,0.4137357306,0.18
1800,1.85,0.4137357306,0.18
1800,1.9,0.4137357306,0.18
1800,1.95,0.4137357306,0.18
1800,2,0.4137357306,0.18
1800,2.05,0.4137357306,0.18
1800,2.1,0.4137357306,0.18
1800,2.15,0.4137357306,0.18
1800,2.2,0.4137357306,0.18
1800,2.25,0.4137357306,0.18
1800,2.3,0.4137357306,0.18
1800,2.35,0.4137357306,0.18
1800,2.4,0.4137357306,0.18
1800,2.45,0.4137357306,0.18
1800,2.5,0.4137357306,0.18
1800,2.55,0.4137357306,0.18
1800,2.6,0.4137357306,0.18
1800,2.65,0.4137357306,0.18
1800,2.7,0.4137357306,0.18
1800,2.75,0.4137357306,0.18
1800,2.8,0.4137357306,0.18
1800,2.85,0.4137357306,0.18
1800,2.9,0.4137357306,0.18
1800,2.95,0.4137357306,0.18
1800,3,0.4137357306,0.18
1800,3.05,0.4137357306,0.18
1800,3.1,0.4137357306,0.18
1800,3.15,0.4137357306,0.18
1800,3.2,0.4137357306,0.18
1800,3.25,0.4137357306,0.18
1800,3.3,0.4137357306,0.18
1800,3.35,0.4137357306,0.18
1800,3.4,0.4137357306,0.18
1800,3.45,0.4137357306,0.18
1800,3.5,0.4137357306,0.18
1800,3.55,0.4137357306,0.18
1800,3.6,0.4137357306,0.18
1800,3.65,0.4137357306,0.18
1800,3.7,0.4137357306,0.18
1800,3.75,0.4137357306,0.18
1800,3.8,0.4137357306,0.18
1800,3.85,0.4137357306,0.18
1800,3.9,0.4137357306,0.18
1800,3.95,0.4137357306,0.18
1800,4,0.4137357306,0.18
1800,4.05,0.4137357306,0.18
1800,4.1,0.4137357306,0.18
1800,4.15,0.4137357306,0.18
1800,4.2,0.4137357306,0.18
1800,4.25,0.4137357306,0.18
1800,4.3,0.4137357306,0.18
1800,4.35,0.4137357306,0.18
1800,4.4,0.4137357306,0.18
1800,4.45,0.4137357306,0.18
1800,4.5,0.4137357306,0.18
1800,4.55,0.4137357306,0.18
1800,4.6,0.4137357306,0.18
1800,4.65,0.4137357306,0.18
1800,4.7,0.4137357306,0.18
1800,4.75,0.4137357306,0.18
1800,4.8,0.4137357306,0.18
1800,4.85,0.4137357306,0.18
1800,4.9,0.4137357306,0.18
1800,4.95,0.4137357306,0.18
1800,5,0.4137357306,0.18
1800,5.05,0.4137357306,0.18
1800,5.1,0.4137357306,0.18
1800,5.15,0.4137357306,0.18
1800,5.2,0.4137357306,0.18
1800,5.25,0.4137357306,0.18
1800,5.3,0.4137357306,0.18
1800,5.35,0.4137357306,0.18
1800,5.4,0.4137357306,0.18
1800,5.45,0.4137357306,0.18
1800,5.5,0.4137357306,0.18
1800,5.55,0.4137357306,0.18
1800,5.6,0.4137357306,0.18
1800,5.65,0.4137357306,0.18
1800,5.7,0.4137357306,0.18
1800,5.75,0.4137357306,0.18
1800,5.8,0.4137357306,0.18
1800,5.85,0.4137357306,0.18
1800,5.9,0.4137357306,0.18
1800,5.95,0.4137357306,0.18
1800,6,0.4137357306,0.18
1800,6.05,0.4137357306,0.18
1800,6.1,0.4137357306,0.18
1800,6.15,0.4137357306,0.18
1800,6.2,0.4137357306,0.18
1800,6.25,0.4137357306,0.18
1800,6.3,0.4137357306,0.18
1800,6.35,0.4137357306,0.18
1800,6.4,0.4137357306,0.18
1800,6.45,0.4137357306,0.18
1800,6.5,0.4137357306,0.18
1800,6.55,0.4137357306,0.18
1800,6.6,0.4137357306,0.18
1800,6.65,0.4137357306,0.18
1800,6.7,0.4137357306,0.18
1800,6.75,0.4137357306,0.18
1800,6.8,0.4137357306,0.18
1800,6.85,0.4137357306,0.18
1800,6.9,0.4137357306,0.18
1800,6.95,0.4137357306,0.18
1800,7,0.4137357306,0.18
1800,7.05,0.4137357306,0.18
1800,7.1,0.4137357306,0.18
1800,7.15,0.4137357306,0.18
1800,7.2,0.4137357306,0.18
1800,7.25,0.4137357306,0.18
1800,7.3,0.4137357306,0.18
1800,7.35,0.4137357306,0.18
1800,7.4,0.4137357306,0.18
1800,7.45,0.4137357306,0.18
1800,7.5,0.4137357306,0.18
1800,7.55,0.4137357306,0.18
1800,7.6,0.4137357306,0.18
1800,7.65,0.4137357306,0.18
1800,7.7,0.4137357306,0.18
1800,7.75,0.4137357306,0.18
1800,7.8,0.4137357306,0.18
1800,7.85,0.4137357306,0.18
1800,7.9,0.4137357306,0.18
1800,7.95,0.4137357306,0.18
1800,8,0.4137357306,0.18
1800,8.05,0.4033579298,0.18
1800,8.1,0.3932018262,0.18
1800,8.15,0.3832658443,0.18
1800,8.2,0.3735483332,0.18
1800,8.25,0.3640475652,0.18
