# bump-subcritical — Subcritical flow over a bump
# SWASHES 3.1.3; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 501 stations (20x model resolution nx=25)
t_s,x_m,h_m,q_m2_per_s
1800,0,2,4.42
1800,0.05,2,4.42
1800,0.1,2,4.42
1800,0.15,2,4.42
1800,0.2,2,4.42
1800,0.25,2,4.42
1800,0.3,2,4.42
1800,0.35,2,4.42
1800,0.4,2,4.42
1800,0.45,2,4.42
1800,0.5,2,4.42
1800,0.55,2,4.42
1800,0.6,2,4.42
1800,0.65,2,4.42
1800,0.7,2,4.42
1800,0.75,2,4.42
1800,0.8,2,4.42
1800,0.85,2,4.42
1800,0.9,2,4.42
1800,0.95,2,4.42
1800,1,2,4.42
1800,1.05,2,4.42
1800,1.1,2,4.42
1800,1.15,2,4.42
1800,1.2,2,4.42
1800,1.25,2,4.42
1800,1.3,2,4.42
1800,1.35,2,4.42
1800,1.4,2,4.42
1800,1.45,2,4.42
1800,1.5,2,4.42
1800,1.55,2,4.42
1800,1.6,2,4.42
1800,1.65,2,4.42
1800,1.7,2,4.42
1800,1.75,2,4.42
1800,1.8,2,4.42
1800,1.85,2,4.42
1800,1.9,2,4.42
1800,1.95,2,4.42
1800,2,2,4.42
1800,2.05,2,4.42
1800,2.1,2,4.42
1800,2.15,2,4.42
1800,2.2,2,4.42
1800,2.25,2,4.42
1800,2.3,2,4.42
1800,2.35,2,4.42
1800,2.4,2,4.42
1800,2.45,2,4.42
1800,2.5,2,4.42
1800,2.55,2,4.42
1800,2.6,2,4.42
1800,2.65,2,4.42
1800,2.7,2,4.42
1800,2.75,2,4.42
1800,2.8,2,4.42
1800,2.85,2,4.42
1800,2.9,2,4.42
1800,2.95,2,4.42
1800,3,2,4.42
1800,3.05,2,4.42
1800,3.1,2,4.42
1800,3.15,2,4.42
1800,3.2,2,4.42
1800,3.25,2,4.42
1800,3.3,2,4.42
1800,3.35,2,4.42
1800,3.4,2,4.42
1800,3.45,2,4.42
1800,3.5,2,4.42
1800,3.55,2,4.42
1800,3.6,2,4.42
1800,3.65,2,4.42
1800,3.7,2,4.42
1800,3.75,2,4.42
1800,3.8,2,4.42
1800,3.85,2,4.42
1800,3.9,2,4.42
1800,3.95,2,4.42
1800,4,2,4.42
1800,4.05,2,4.42
1800,4.1,2,4.42
1800,4.15,2,4.42
1800,4.2,2,4.42
1800,4.25,2,4.42
1800,4.3,2,4.42
1800,4.35,2,4.42
1800,4.4,2,4.42
1800,4.45,2,4.42
1800,4.5,2,4.42
1800,4.55,2,4.42
1800,4.6,2,4.42
1800,4.65,2,4.42
1800,4.7,2,4.42
1800,4.75,2,4.42
1800,4.8,2,4.42
1800,4.85,2,4.42
1800,4.9,2,4.42
1800,4.95,2,4.42
1800,5,2,4.42
1800,5.05,2,4.42
1800,5.1,2,4.42
1800,5.15,2,4.42
1800,5.2,2,4.42
1800,5.25,2,4.42
1800,5.3,2,4.42
1800,5.35,2,4.42
1800,5.4,2,4.42
1800,5.45,2,4.42
1800,5.5,2,4.42
1800,5.55,2,4.42
1800,5.6,2,4.42
1800,5.65,2,4.42
1800,5.7,2,4.42
1800,5.75,2,4.42
1800,5.8,2,4.42
1800,5.85,2,4.42
1800,5.9,2,4.42
1800,5.95,2,4.42
1800,6,2,4.42
1800,6.05,2,4.42
1800,6.1,2,4.42
1800,6.15,2,4.42
1800,6.2,2,4.42
1800,6.25,2,4.42
1800,6.3,2,4.42
1800,6.35,2,4.42
1800,6.4,2,4.42
1800,6.45,2,4.42
1800,6.5,2,4.42
1800,6.55,2,4.42
1800,6.6,2,4.42
1800,6.65,2,4.42
1800,6.7,2,4.42
1800,6.75,2,4.42
1800,6.8,2,4.42
1800,6.85,2,4.42
1800,6.9,2,4.42
1800,6.95,2,4.42
1800,7,2,4.42
1800,7.05,2,4.42
