# bump-transcritical — Transcritical flow without shock
# SWASHES 3.1.4; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 501 stations (20x model resolution nx=25)
t_s,x_m,h_m,q_m2_per_s
1800,0,1.014446798,1.53
1800,0.05,1.014446798,1.53
1800,0.1,1.014446798,1.53
1800,0.15,1.014446798,1.53
1800,0.2,1.014446798,1.53
1800,0.25,1.014446798,1.53
1800,0.3,1.014446798,1.53
1800,0.35,1.014446798,1.53
1800,0.4,1.014446798,1.53
1800,0.45,1.014446798,1.53
1800,0.5,1.014446798,1.53
1800,0.55,1.014446798,1.53
1800,0.6,1.014446798,1.53
1800,0.65,1.014446798,1.53
1800,0.7,1.014446798,1.53
1800,0.75,1.014446798,1.53
1800,0.8,1.014446798,1.53
1800,0.85,1.014446798,1.53
1800,0.9,1.014446798,1.53
1800,0.95,1.014446798,1.53
1800,1,1.014446798,1.53
1800,1.05,1.014446798,1.53
1800,1.1,1.014446798,1.53
1800,1.15,1.014446798,1.53
1800,1.2,1.014446798,1.53
1800,1.25,1.014446798,1.53
1800,1.3,1.014446798,1.53
1800,1.35,1.014446798,1.53
1800,1.4,1.014446798,1.53
1800,1.45,1.014446798,1.53
1800,1.5,1.014446798,1.53
1800,1.55,1.014446798,1.53
1800,1.6,1.014446798,1.53
1800,1.65,1.014446798,1.53
1800,1.7,1.014446798,1.53
1800,1.75,1.014446798,1.53
1800,1.8,1.014446798,1.53
1800,1.85,1.014446798,1.53
1800,1.9,1.014446798,1.53
1800,1.95,1.014446798,1.53
1800,2,1.014446798,1.53
1800,2.05,1.014446798,1.53
1800,2.1,1.014446798,1.53
1800,2.15,1.014446798,1.53
1800,2.2,1.014446798,1.53
1800,2.25,1.014446798,1.53
1800,2.3,1.014446798,1.53
1800,2.35,1.014446798,1.53
1800,2.4,1.014446798,1.53
1800,2.45,1.014446798,1.53
1800,2.5,1.014446798,1.53
1800,2.55,1.014446798,1.53
1800,2.6,1.014446798,1.53
1800,2.65,1.014446798,1.53
1800,2.7,1.014446798,1.53
1800,2.75,1.014446798,1.53
1800,2.8,1.014446798,1.53
1800,2.85,1.014446798,1.53
1800,2.9,1.014446798,1.53
1800,2.95,1.014446798,1.53
1800,3,1.014446798,1.53
1800,3.05,1.014446798,1.53
1800,3.1,1.014446798,1.53
1800,3.15,1.014446798,1.53
1800,3.2,1.014446798,1.53
1800,3.25,1.014446798,1.53
1800,3.3,1.014446798,1.53
1800,3.35,1.014446798,1.53
1800,3.4,1.014446798,1.53
1800,3.45,1.014446798,1.53
1800,3.5,1.014446798,1.53
1800,3.55,1.014446798,1.53
1800,3.6,1.014446798,1.53
1800,3.65,1.014446798,1.53
1800,3.7,1.014446798,1.53
1800,3.75,1.014446798,1.53
1800,3.8,1.014446798,1.53
1800,3.85,1.014446798,1.53
1800,3.9,1.014446798,1.53
1800,3.95,1.014446798,1.53
1800,4,1.014446798,1.53
1800,4.05,1.014446798,1.53
1800,4.1,1.014446798,1.53
1800,4.15,1.014446798,1.53
1800,4.2,1.014446798,1.53
1800,4.25,1.014446798,1.53
1800,4.3,1.014446798,1.53
1800,4.35,1.014446798,1.53
1800,4.4,1.014446798,1.53
1800,4.45,1.014446798,1.53
1800,4.5,1.014446798,1.53
1800,4.55,1.014446798,1.53
1800,4.6,1.014446798,1.53
1800,4.65,1.014446798,1.53
1800,4.7,1.014446798,1.53
1800,4.75,1.014446798,1.53
1800,4.8,1.014446798,1.53
1800,4.85,1.014446798,1.53
1800,4.9,1.014446798,1.53
1800,4.95,1.014446798,1.53
1800,5,1.014446798,1.53
1800,5.05,1.014446798,1.53
1800,5.1,1.014446798,1.53
1800,5.15,1.014446798,1.53
1800,5.2,1.014446798,1.53
1800,5.25,1.014446798,1.53
1800,5.3,1.014446798,1.53
1800,5.35,1.014446798,1.53
1800,5.4,1.014446798,1.53
1800,5.45,1.014446798,1.53
1800,5.5,1.014446798,1.53
1800,5.55,1.014446798,1.53
1800,5.6,1.014446798,1.53
1800,5.65,1.014446798,1.53
1800,5.7,1.014446798,1.53
1800,5.75,1.014446798,1.53
1800,5.8,1.014446798,1.53
1800,5.85,1.014446798,1.53
1800,5.9,1.014446798,1.53
1800,5.95,1.014446798,1.53
1800,6,1.014446798,1.53
1800,6.05,1.014446798,1.53
1800,6.1,1.014446798,1.53
1800,6.15,1.014446798,1.53
1800,6.2,1.014446798,1.53
1800,6.25,1.014446798,1.53
1800,6.3,1.014446798,1.53
1800,6.35,1.014446798,1.53
1800,6.4,1.014446798,1.53
1800,6.45,1.014446798,1.53
1800,6.5,1.014446798,1.53
1800,6.55,1.014446798,1.53
1800,6.6,1.014446798,1.53
1800,6.65,1.014446798,1.53
1800,6.7,1.014446798,1.53
1800,6.75,1.014446798,1.53
1800,6.8,1.014446798,1.53
1800,6.85,1.014446798,1.53
1800,6.9,1.014446798,1.53
1800,6.95,1.014446798,1.53
1800,7,1.014446798,1.53
1800,7.05,1.014446798,1.53
1800,7.1,1.014446798,1.53
1800,7.15,1.014446798,1.53
1800,7.2,1.014446798,1.53
1800,7.25,1.014446798,1.53
1800,7.3,1.014446798,1.53
1800,7.35,1.014446798,1.53
1800,7.4,1.014446798,1.53
1800,7.45,1.014446798,1.53
1800,7.5,1.014446798,1.53
1800,7.55,1.014446798,1.53
1800,7.6,1.014446798,1.53
1800,7.65,1.014446798,1.53
1800,7.7,1.014446798,1.53
1800,7.75,1.014446798,1.53
