# lake-at-rest-immersed — Lake at rest with an immersed bump
# SWASHES 3.1.1; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 501 stations (20x model resolution nx=25)
t_s,x_m,h_m,q_m2_per_s
200,0,0.5,0
200,0.05,0.5,0
200,0.1,0.5,0
200,0.15,0.5,0
200,0.2,0.5,0
200,0.25,0.5,0
200,0.3,0.5,0
200,0.35,0.5,0
200,0.4,0.5,0
200,0.45,0.5,0
200,0.5,0.5,0
200,0.55,0.5,0
200,0.6,0.5,0
200,0.65,0.5,0
200,0.7,0.5,0
200,0.75,0.5,0
200,0.8,0.5,0
200,0.85,0.5,0
200,0.9,0.5,0
200,0.95,0.5,0
200,1,0.5,0
200,1.05,0.5,0
200,1.1,0.5,0
200,1.15,0.5,0
200,1.2,0.5,0
200,1.25,0.5,0
200,1.3,0.5,0
200,1.35,0.5,0
200,1.4,0.5,0
200,1.45,0.5,0
200,1.5,0.5,0
200,1.55,0.5,0
200,1.6,0.5,0
200,1.65,0.5,0
200,1.7,0.5,0
200,1.75,0.5,0
200,1.8,0.5,0
200,1.85,0.5,0
200,1.9,0.5,0
200,1.95,0.5,0
200,2,0.5,0
200,2.05,0.5,0
200,2.1,0.5,0
200,2.15,0.5,0
200,2.2,0.5,0
200,2.25,0.5,0
200,2.3,0.5,0
200,2.35,0.5,0
200,2.4,0.5,0
200,2.45,0.5,0
200,2.5,0.5,0
200,2.55,0.5,0
200,2.6,0.5,0
200,2.65,0.5,0
200,2.7,0.5,0
200,2.75,0.5,0
200,2.8,0.5,0
200,2.85,0.5,0
200,2.9,0.5,0
200,2.95,0.5,0
200,3,0.5,0
200,3.05,0.5,0
200,3.1,0.5,0
200,3.15,0.5,0
200,3.2,0.5,0
200,3.25,0.5,0
200,3.3,0.5,0
200,3.35,0.5,0
200,3.4,0.5,0
200,3.45,0.5,0
200,3.5,0.5,0
200,3.55,0.5,0
200,3.6,0.5,0
200,3.65,0.5,0
200,3.7,0.5,0
200,3.75,0.5,0
200,3.8,0.5,0
200,3.85,0.5,0
200,3.9,0.5,0
200,3.95,0.5,0
200,4,0.5,0
200,4.05,0.5,0
200,4.1,0.5,0
200,4.15,0.5,0
200,4.2,0.5,0
200,4.25,0.5,0
200,4.3,0.5,0
200,4.35,0.5,0
200,4.4,0.5,0
200,4.45,0.5,0
200,4.5,0.5,0
200,4.55,0.5,0
200,4.6,0.5,0
200,4.65,0.5,0
200,4.7,0.5,0
200,4.75,0.5,0
200,4.8,0.5,0
200,4.85,0.5,0
200,4.9,0.5,0
200,4.95,0.5,0
200,5,0.5,0
200,5.05,0.5,0
200,5.1,0.5,0
200,5.15,0.5,0
200,5.2,0.5,0
200,5.25,0.5,0
200,5.3,0.5,0
200,5.35,0.5,0
200,5.4,0.5,0
200,5.45,0.5,0
200,5.5,0.5,0
200,5.55,0.5,0
200,5.6,0.5,0
200,5.65,0.5,0
200,5.7,0.5,0
200,5.75,0.5,0
200,5.8,0.5,0
200,5.85,0.5,0
200,5.9,0.5,0
200,5.95,0.5,0
200,6,0.5,0
200,6.05,0.5,0
200,6.1,0.5,0
200,6.15,0.5,0
200,6.2,0.5,0
200,6.25,0.5,0
200,6.3,0.5,0
200,6.35,0.5,0
200,6.4,0.5,0
200,6.45,0.5,0
200,6.5,0.5,0
200,6.55,0.5,0
200,6.6,0.5,0
200,6.65,0.5,0
200,6.7,0.5,0
200,6.75,0.5,0
200,6.8,0.5,0
200,6.85,0.5,0
200,6.9,0.5,0
200,6.95,0.5,0
200,7,0.5,0
200,7.05,0.5,0
200,7.1,0.5,0
200,7.15,0.5,0
200,7.2,0.5,0
200,7.25,0.5,0
200,7.3,0.5,0
200,7.35,0.5,0
200,7.4,0.5,0
200,7.45,0.5,0
200,7.5,0.5,0
200,7.55,0.5,0
200,7.6,0.5,0
200,7.65,0.5,0
200,7.7,0.5,0
200,7.75,0.5,0
200,7.8,0.5,0
200,7.85,0.5,0
200,7.9,0.5,0
200,7.95,0.5,0
200,8,0.5,0
200,8.05,0.490125,0
200,8.1,0.4805,0
200,8.15,0.471125,0
200,8.2,0.462,0
200,8.25,0.453125,0
200,8.3,0.4445,0
200,8.35,0.436125,0
200,8.4,0.428,0
200,8.45,0.420125,0
200,8.5,0.4125,0
200,8.55,0.405125,0
200,8.6,0.398,0
200,8.65,0.391125,0
200,8.7,0.3845,0
200,8.75,0.378125,0
200,8.8,0.372,0
200,8.85,0.366125,0
200,8.9,0.3605,0
200,8.95,0.355125,0
200,9,0.35,0
200,9.05,0.345125,0
200,9.1,0.3405,0
200,9.15,0.336125,0
200,9.2,0.332,0
200,9.25,0.328125,0
200,9.3,0.3245,0
200,9.35,0.321125,0
200,9.4,0.318,0
200,9.45,0.315125,0
200,9.5,0.3125,0
200,9.55,0.310125,0
200,9.6,0.308,0
200,9.65,0.306125,0
200,9.7,0.3045,0
200,9.75,0.303125,0
200,9.8,0.302,0
200,9.85,0.301125,0
200,9.9,0.3005,0
200,9.95,0.300125,0
200,10,0.3,0
200,10.05,0.300125,0
200,10.1,0.3005,0
200,10.15,0.301125,0
200,10.2,0.302,0
200,10.25,0.303125,0
200,10.3,0.3045,0
200,10.35,0.306125,0
200,10.4,0.308,0
200,10.45,0.310125,0
200,10.5,0.3125,0
200,10.55,0.315125,0
200,10.6,0.318,0
200,10.65,0.321125,0
200,10.7,0.3245,0
200,10.75,0.328125,0
200,10.8,0.332,0
200,10.85,0.336125,0
200,10.9,0.3405,0
200,10.95,0.345125,0
200,11,0.35,0
200,11.05,0.355125,0
200,11.1,0.3605,0
200,11.15,0.366125,0
200,11.2,0.372,0
200,11.25,0.378125,0
200,11.3,0.3845,0
200,11.35,0.391125,0
200,11.4,0.398,0
200,11.45,0.405125,0
200,11.5,0.4125,0
200,11.55,0.420125,0
200,11.6,0.428,0
200,11.65,0.436125,0
200,11.7,0.4445,0
200,11.75,0.453125,0
200,11.8,0.462,0
200,11.85,0.471125,0
200,11.9,0.4805,0
200,11.95,0.490125,0
200,12,0.5,0
200,12.05,0.5,0
200,12.1,0.5,0
200,12.15,0.5,0
200,12.2,0.5,0
200,12.25,0.5,0
200,12.3,0.5,0
200,12.35,0.5,0
200,12.4,0.5,0
200,12.45,0.5,0
200,12.5,0.5,0
200,12.55,0.5,0
200,12.6,0.5,0
200,12.65,0.5,0
200,12.7,0.5,0
200,12.75,0.5,0
200,12.8,0.5,0
200,12.85,0.5,0
200,12.9,0.5,0
200,12.95,0.5,0
200,13,0.5,0
200,13.05,0.5,0
200,13.1,0.5,0
200,13.15,0.5,0
200,13.2,0.5,0
200,13.25,0.5,0
200,13.3,0.5,0
200,13.35,0.5,0
200,13.4,0.5,0
200,13.45,0.5,0
200,13.5,0.5,0
200,13.55,0.5,0
200,13.6,0.5,0
200,13.65,0.5,0
200,13.7,0.5,0
200,13.75,0.5,0
200,13.8,0.5,0
200,13.85,0.5,0
200,13.9,0.5,0
200,13.95,0.5,0
200,14,0.5,0
200,14.05,0.5,0
200,14.1,0.5,0
200,14.15,0.5,0
200,14.2,0.5,0
200,14.25,0.5,0
200,14.3,0.5,0
200,14.35,0.5,0
200,14.4,0.5,0
200,14.45,0.5,0
200,14.5,0.5,0
200,14.55,0.5,0
200,14.6,0.5,0
200,14.65,0.5,0
200,14.7,0.5,0
200,14.75,0.5,0
200,14.8,0.5,0
200,14.85,0.5,0
200,14.9,0.5,0
200,14.95,0.5,0
200,15,0.5,0
200,15.05,0.5,0
200,15.1,0.5,0
200,15.15,0.5,0
200,15.2,0.5,0
200,15.25,0.5,0
200,15.3,0.5,0
200,15.35,0.5,0
200,15.4,0.5,0
200,15.45,0.5,0
200,15.5,0.5,0
200,15.55,0.5,0
200,15.6,0.5,0
200,15.65,0.5,0
200,15.7,0.5,0
200,15.75,0.5,0
200,15.8,0.5,0
200,15.85,0.5,0
200,15.9,0.5,0
200,15.95,0.5,0
200,16,0.5,0
200,16.05,0.5,0
200,16.1,0.5,0
200,16.15,0.5,0
200,16.2,0.5,0
200,16.25,0.5,0
200,16.3,0.5,0
200,16.35,0.5,0
200,16.4,0.5,0
200,16.45,0.5,0
200,16.5,0.5,0
200,16.55,0.5,0
200,16.6,0.5,0
200,16.65,0.5,0
200,16.7,0.5,0
200,16.75,0.5,0
200,16.8,0.5,0
200,16.85,0.5,0
200,16.9,0.5,0
200,16.95,0.5,0
200,17,0.5,0
200,17.05,0.5,0
200,17.1,0.5,0
200,17.15,0.5,0
200,17.2,0.5,0
200,17.25,0.5,0
200,17.3,0.5,0
200,17.35,0.5,0
200,17.4,0.5,0
200,17.45,0.5,0
200,17.5,0.5,0
200,17.55,0.5,0
200,17.6,0.5,0
200,17.65,0.5,0
200,17.7,0.5,0
200,17.75,0.5,0
200,17.8,0.5,0
200,17.85,0.5,0
200,17.9,0.5,0
200,17.95,0.5,0
200,18,0.5,0
200,18.05,0.5,0
200,18.1,0.5,0
200,18.15,0.5,0
200,18.2,0.5,0
200,18.25,0.5,0
200,18.3,0.5,0
200,18.35,0.5,0
200,18.4,0.5,0
200,18.45,0.5,0
200,18.5,0.5,0
200,18.55,0.5,0
200,18.6,0.5,0
200,18.65,0.5,0
200,18.7,0.5,0
200,18.75,0.5,0
200,18.8,0.5,0
200,18.85,0.5,0
200,18.9,0.5,0
200,18.95,0.5,0
200,19,0.5,0
200,19.05,0.5,0
200,19.1,0.5,0
200,19.15,0.5,0
200,19.2,0.5,0
200,19.25,0.5,0
200,19.3,0.5,0
200,19.35,0.5,0
200,19.4,0.5,0
200,19.45,0.5,0
200,19.5,0.5,0
200,19.55,0.5,0
200,19.6,0.5,0
200,19.65,0.5,0
200,19.7,0.5,0
200,19.75,0.5,0
200,19.8,0.5,0
200,19.85,0.5,0
200,19.9,0.5,0
200,19.95,0.5,0
200,20,0.5,0
200,20.05,0.5,0
200,20.1,0.5,0
200,20.15,0.5,0
200,20.2,0.5,0
200,20.25,0.5,0
200,20.3,0.5,0
200,20.35,0.5,0
200,20.4,0.5,0
200,20.45,0.5,0
200,20.5,0.5,0
200,20.55,0.5,0
200,20.6,0.5,0
200,20.65,0.5,0
200,20.7,0.5,0
200,20.75,0.5,0
200,20.8,0.5,0
200,20.85,0.5,0
200,20.9,0.5,0
200,20.95,0.5,0
200,21,0.5,0
200,21.05,0.5,0
200,21.1,0.5,0
200,21.15,0.5,0
200,21.2,0.5,0
200,21.25,0.5,0
200,21.3,0.5,0
200,21.35,0.5,0
200,21.4,0.5,0
200,21.45,0.5,0
200,21.5,0.5,0
200,21.55,0.5,0
200,21.6,0.5,0
200,21.65,0.5,0
200,21.7,0.5,0
200,21.75,0.5,0
200,21.8,0.5,0
200,21.85,0.5,0
200,21.9,0.5,0
200,21.95,0.5,0
200,22,0.5,0
200,22.05,0.5,0
200,22.1,0.5,0
200,22.15,0.5,0
200,22.2,0.5,0
200,22.25,0.5,0
200,22.3,0.5,0
200,22.35,0.5,0
200,22.4,0.5,0
200,22.45,0.5,0
200,22.5,0.5,0
200,22.55,0.5,0
200,22.6,0.5,0
200,22.65,0.5,0
200,22.7,0.5,0
200,22.75,0.5,0
200,22.8,0.5,0
200,22.85,0.5,0
200,22.9,0.5,0
200,22.95,0.5,0
200,23,0.5,0
200,23.05,0.5,0
200,23.1,0.5,0
200,23.15,0.5,0
200,23.2,0.5,0
200,23.25,0.5,0
200,23.3,0.5,0
200,23.35,0.5,0
200,23.4,0.5,0
200,23.45,0.5,0
200,23.5,0.5,0
200,23.55,0.5,0
200,23.6,0.5,0
200,23.65,0.5,0
200,23.7,0.5,0
200,23.75,0.5,0
200,23.8,0.5,0
200,23.85,0.5,0
200,23.9,0.5,0
200,23.95,0.5,0
200,24,0.5,0
200,24.05,0.5,0
200,24.1,0.5,0
200,24.15,0.5,0
200,24.2,0.5,0
200,24.25,0.5,0
200,24.3,0.5,0
200,24.35,0.5,0
200,24.4,0.5,0
200,24.45,0.5,0
200,24.5,0.5,0
200,24.55,0.5,0
200,24.6,0.5,0
200,24.65,0.5,0
200,24.7,0.5,0
200,24.75,0.5,0
200,24.8,0.5,0
200,24.85,0.5,0
200,24.9,0.5,0
200,24.95,0.5,0
200,25,0.5,0
