# macdonald-rain-sub — MacDonald 1000 m channel, subcritical with rain
# SWASHES 3.3.1; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 20001 stations (20x model resolution nx=1000)
t_s,x_m,h_m,q_m2_per_s
6000,0,0.7483235583,1
6000,0.05,0.7483289929,1.00005
6000,0.1,0.7483344312,1.0001
6000,0.15,0.7483398734,1.00015
6000,0.2,0.7483453194,1.0002
6000,0.25,0.7483507692,1.00025
6000,0.3,0.7483562228,1.0003
6000,0.35,0.7483616802,1.00035
6000,0.4,0.7483671415,1.0004
6000,0.45,0.7483726065,1.00045
6000,0.5,0.7483780754,1.0005
6000,0.55,0.7483835481,1.00055
6000,0.6,0.7483890247,1.0006
6000,0.65,0.748394505,1.00065
6000,0.7,0.7483999892,1.0007
6000,0.75,0.7484054772,1.00075
6000,0.8,0.7484109691,1.0008
6000,0.85,0.7484164648,1.00085
6000,0.9,0.7484219643,1.0009
6000,0.95,0.7484274677,1.00095
6000,1,0.748432975,1.001
6000,1.05,0.748438486,1.00105
6000,1.1,0.748444001,1.0011
6000,1.15,0.7484495197,1.00115
6000,1.2,0.7484550424,1.0012
6000,1.25,0.7484605688,1.00125
6000,1.3,0.7484660992,1.0013
6000,1.35,0.7484716334,1.00135
6000,1.4,0.7484771714,1.0014
6000,1.45,0.7484827134,1.00145
6000,1.5,0.7484882592,1.0015
6000,1.55,0.7484938088,1.00155
6000,1.6,0.7484993624,1.0016
6000,1.65,0.7485049198,1.00165
6000,1.7,0.748510481,1.0017
6000,1.75,0.7485160462,1.00175
6000,1.8,0.7485216152,1.0018
6000,1.85,0.7485271881,1.00185
6000,1.9,0.7485327649,1.0019
6000,1.95,0.7485383456,1.00195
6000,2,0.7485439302,1.002
6000,2.05,0.7485495187,1.00205
6000,2.1,0.748555111,1.0021
6000,2.15,0.7485607073,1.00215
6000,2.2,0.7485663074,1.0022
6000,2.25,0.7485719115,1.00225
6000,2.3,0.7485775194,1.0023
6000,2.35,0.7485831313,1.00235
6000,2.4,0.7485887471,1.0024
6000,2.45,0.7485943667,1.00245
6000,2.5,0.7485999903,1.0025
6000,2.55,0.7486056178,1.00255
6000,2.6,0.7486112492,1.0026
6000,2.65,0.7486168845,1.00265
6000,2.7,0.7486225238,1.0027
6000,2.75,0.7486281669,1.00275
6000,2.8,0.748633814,1.0028
6000,2.85,0.748639465,1.00285
6000,2.9,0.74864512,1.0029
6000,2.95,0.7486507788,1.00295
6000,3,0.7486564416,1.003
6000,3.05,0.7486621084,1.00305
6000,3.1,0.7486677791,1.0031
6000,3.15,0.7486734537,1.00315
6000,3.2,0.7486791322,1.0032
6000,3.25,0.7486848147,1.00325
6000,3.3,0.7486905012,1.0033
6000,3.35,0.7486961916,1.00335
6000,3.4,0.7487018859,1.0034
6000,3.45,0.7487075842,1.00345
6000,3.5,0.7487132865,1.0035
6000,3.55,0.7487189927,1.00355
6000,3.6,0.7487247028,1.0036
6000,3.65,0.748730417,1.00365
6000,3.7,0.7487361351,1.0037
6000,3.75,0.7487418571,1.00375
6000,3.8,0.7487475831,1.0038
6000,3.85,0.7487533131,1.00385
6000,3.9,0.7487590471,1.0039
6000,3.95,0.7487647851,1.00395
6000,4,0.748770527,1.004
6000,4.05,0.7487762729,1.00405
6000,4.1,0.7487820228,1.0041
6000,4.15,0.7487877766,1.00415
6000,4.2,0.7487935345,1.0042
6000,4.25,0.7487992963,1.00425
6000,4.3,0.7488050622,1.0043
6000,4.35,0.748810832,1.00435
6000,4.4,0.7488166058,1.0044
6000,4.45,0.7488223836,1.00445
6000,4.5,0.7488281654,1.0045
6000,4.55,0.7488339513,1.00455
6000,4.6,0.7488397411,1.0046
6000,4.65,0.7488455349,1.00465
6000,4.7,0.7488513327,1.0047
6000,4.75,0.7488571346,1.00475
6000,4.8,0.7488629405,1.0048
6000,4.85,0.7488687503,1.00485
6000,4.9,0.7488745642,1.0049
6000,4.95,0.7488803821,1.00495
6000,5,0.7488862041,1.005
6000,5.05,0.74889203,1.00505
6000,5.1,0.74889786,1.0051
6000,5.15,0.748903694,1.00515
6000,5.2,0.7489095321,1.0052
6000,5.25,0.7489153742,1.00525
6000,5.3,0.7489212203,1.0053
6000,5.35,0.7489270704,1.00535
6000,5.4,0.7489329246,1.0054
6000,5.45,0.7489387829,1.00545
6000,5.5,0.7489446451,1.0055
6000,5.55,0.7489505115,1.00555
6000,5.6,0.7489563818,1.0056
