# macdonald-short-sub2sup — MacDonald 100 m channel, transonic at x = 50 m
# SWASHES 3.2.2 (sub-to-supercritical); Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 4001 stations (20x model resolution nx=200)
t_s,x_m,h_m,q_m2_per_s
1800,0,0.9887103139,2
1800,0.025,0.9885558433,2
1800,0.05,0.9884014037,2
1800,0.075,0.988246995,2
1800,0.1,0.9880926171,2
1800,0.125,0.9879382702,2
1800,0.15,0.9877839541,2
1800,0.175,0.987629669,2
1800,0.2,0.9874754147,2
1800,0.225,0.9873211913,2
1800,0.25,0.9871669989,2
1800,0.275,0.9870128373,2
1800,0.3,0.9868587066,2
1800,0.325,0.9867046069,2
1800,0.35,0.986550538,2
1800,0.375,0.9863965,2
1800,0.4,0.9862424929,2
1800,0.425,0.9860885168,2
1800,0.45,0.9859345715,2
1800,0.475,0.9857806571,2
1800,0.5,0.9856267736,2
1800,0.525,0.985472921,2
1800,0.55,0.9853190993,2
1800,0.575,0.9851653085,2
1800,0.6,0.9850115486,2
1800,0.625,0.9848578196,2
1800,0.65,0.9847041215,2
1800,0.675,0.9845504543,2
1800,0.7,0.984396818,2
1800,0.725,0.9842432125,2
1800,0.75,0.984089638,2
1800,0.775,0.9839360944,2
1800,0.8,0.9837825817,2
1800,0.825,0.9836290999,2
1800,0.85,0.9834756489,2
1800,0.875,0.9833222289,2
1800,0.9,0.9831688398,2
1800,0.925,0.9830154815,2
1800,0.95,0.9828621542,2
1800,0.975,0.9827088577,2
1800,1,0.9825555922,2
1800,1.025,0.9824023575,2
1800,1.05,0.9822491538,2
1800,1.075,0.9820959809,2
1800,1.1,0.981942839,2
1800,1.125,0.9817897279,2
1800,1.15,0.9816366477,2
1800,1.175,0.9814835985,2
1800,1.2,0.9813305801,2
1800,1.225,0.9811775926,2
1800,1.25,0.9810246361,2
1800,1.275,0.9808717104,2
1800,1.3,0.9807188156,2
1800,1.325,0.9805659517,2
1800,1.35,0.9804131187,2
1800,1.375,0.9802603166,2
1800,1.4,0.9801075454,2
1800,1.425,0.9799548052,2
1800,1.45,0.9798020958,2
1800,1.475,0.9796494173,2
1800,1.5,0.9794967696,2
1800,1.525,0.9793441529,2
1800,1.55,0.9791915671,2
1800,1.575,0.9790390122,2
1800,1.6,0.9788864882,2
1800,1.625,0.9787339951,2
1800,1.65,0.9785815329,2
1800,1.675,0.9784291015,2
1800,1.7,0.9782767011,2
1800,1.725,0.9781243316,2
1800,1.75,0.977971993,2
1800,1.775,0.9778196852,2
1800,1.8,0.9776674084,2
1800,1.825,0.9775151625,2
1800,1.85,0.9773629474,2
1800,1.875,0.9772107633,2
1800,1.9,0.97705861,2
1800,1.925,0.9769064877,2
1800,1.95,0.9767543962,2
1800,1.975,0.9766023357,2
1800,2,0.976450306,2
1800,2.025,0.9762983072,2
1800,2.05,0.9761463394,2
1800,2.075,0.9759944024,2
1800,2.1,0.9758424963,2
1800,2.125,0.9756906212,2
1800,2.15,0.9755387769,2
1800,2.175,0.9753869635,2
1800,2.2,0.975235181,2
1800,2.225,0.9750834294,2
1800,2.25,0.9749317087,2
1800,2.275,0.974780019,2
1800,2.3,0.9746283601,2
1800,2.325,0.9744767321,2
1800,2.35,0.974325135,2
1800,2.375,0.9741735688,2
1800,2.4,0.9740220335,2
1800,2.425,0.9738705291,2
1800,2.45,0.9737190555,2
1800,2.475,0.9735676129,2
1800,2.5,0.9734162012,2
1800,2.525,0.9732648204,2
1800,2.55,0.9731134705,2
1800,2.575,0.9729621515,2
1800,2.6,0.9728108633,2
1800,2.625,0.9726596061,2
1800,2.65,0.9725083798,2
1800,2.675,0.9723571843,2
1800,2.7,0.9722060198,2
1800,2.725,0.9720548862,2
1800,2.75,0.9719037834,2
1800,2.775,0.9717527116,2
1800,2.8,0.9716016706,2
1800,2.825,0.9714506606,2
1800,2.85,0.9712996814,2
1800,2.875,0.9711487332,2
1800,2.9,0.9709978158,2
1800,2.925,0.9708469293,2
1800,2.95,0.9706960738,2
1800,2.975,0.9705452491,2
1800,3,0.9703944553,2
1800,3.025,0.9702436924,2
1800,3.05,0.9700929605,2
1800,3.075,0.9699422594,2
1800,3.1,0.9697915892,2
1800,3.125,0.9696409499,2
1800,3.15,0.9694903415,2
1800,3.175,0.969339764,2
1800,3.2,0.9691892174,2
1800,3.225,0.9690387018,2
1800,3.25,0.968888217,2
1800,3.275,0.9687377631,2
1800,3.3,0.96858734,2
1800,3.325,0.9684369479,2
1800,3.35,0.9682865867,2
1800,3.375,0.9681362564,2
1800,3.4,0.967985957,2
1800,3.425,0.9678356885,2
1800,3.45,0.9676854509,2
1800,3.475,0.9675352441,2
1800,3.5,0.9673850683,2
1800,3.525,0.9672349234,2
1800,3.55,0.9670848093,2
1800,3.575,0.9669347262,2
1800,3.6,0.966784674,2
1800,3.625,0.9666346526,2
1800,3.65,0.9664846622,2
1800,3.675,0.9663347026,2
1800,3.7,0.966184774,2
1800,3.725,0.9660348762,2
1800,3.75,0.9658850094,2
1800,3.775,0.9657351734,2
1800,3.8,0.9655853684,2
1800,3.825,0.9654355942,2
1800,3.85,0.9652858509,2
1800,3.875,0.9651361386,2
1800,3.9,0.9649864571,2
1800,3.925,0.9648368065,2
1800,3.95,0.9646871868,2
1800,3.975,0.964537598,2
1800,4,0.9643880402,2
1800,4.025,0.9642385132,2
1800,4.05,0.9640890171,2
1800,4.075,0.9639395519,2
1800,4.1,0.9637901176,2
1800,4.125,0.9636407142,2
1800,4.15,0.9634913417,2
1800,4.175,0.9633420001,2
1800,4.2,0.9631926894,2
1800,4.225,0.9630434096,2
1800,4.25,0.9628941607,2
1800,4.275,0.9627449427,2
1800,4.3,0.9625957555,2
1800,4.325,0.9624465993,2
1800,4.35,0.962297474,2
1800,4.375,0.9621483796,2
1800,4.4,0.961999316,2
1800,4.425,0.9618502834,2
1800,4.45,0.9617012817,2
1800,4.475,0.9615523108,2
1800,4.5,0.9614033709,2
1800,4.525,0.9612544619,2
1800,4.55,0.9611055837,2
1800,4.575,0.9609567365,2
1800,4.6,0.9608079201,2
1800,4.625,0.9606591347,2
1800,4.65,0.9605103801,2
1800,4.675,0.9603616564,2
1800,4.7,0.9602129637,2
1800,4.725,0.9600643018,2
1800,4.75,0.9599156709,2
1800,4.775,0.9597670708,2
1800,4.8,0.9596185016,2
1800,4.825,0.9594699633,2
1800,4.85,0.959321456,2
1800,4.875,0.9591729795,2
1800,4.9,0.9590245339,2
1800,4.925,0.9588761192,2
1800,4.95,0.9587277354,2
1800,4.975,0.9585793825,2
1800,5,0.9584310605,2
1800,5.025,0.9582827694,2
1800,5.05,0.9581345092,2
1800,5.075,0.9579862799,2
1800,5.1,0.9578380815,2
1800,5.125,0.957689914,2
1800,5.15,0.9575417774,2
1800,5.175,0.9573936717,2
1800,5.2,0.9572455969,2
1800,5.225,0.9570975529,2
1800,5.25,0.9569495399,2
1800,5.275,0.9568015578,2
1800,5.3,0.9566536066,2
1800,5.325,0.9565056862,2
1800,5.35,0.9563577968,2
1800,5.375,0.9562099383,2
1800,5.4,0.9560621106,2
1800,5.425,0.9559143139,2
1800,5.45,0.955766548,2
1800,5.475,0.9556188131,2
1800,5.5,0.955471109,2
1800,5.525,0.9553234359,2
1800,5.55,0.9551757936,2
1800,5.575,0.9550281823,2
1800,5.6,0.9548806018,2
1800,5.625,0.9547330522,2
1800,5.65,0.9545855336,2
1800,5.675,0.9544380458,2
1800,5.7,0.9542905889,2
1800,5.725,0.9541431629,2
1800,5.75,0.9539957679,2
1800,5.775,0.9538484037,2
1800,5.8,0.9537010704,2
1800,5.825,0.953553768,2
1800,5.85,0.9534064965,2
1800,5.875,0.9532592559,2
1800,5.9,0.9531120462,2
1800,5.925,0.9529648674,2
1800,5.95,0.9528177195,2
1800,5.975,0.9526706025,2
1800,6,0.9525235164,2
1800,6.025,0.9523764612,2
1800,6.05,0.9522294369,2
1800,6.075,0.9520824435,2
1800,6.1,0.9519354809,2
1800,6.125,0.9517885493,2
1800,6.15,0.9516416486,2
1800,6.175,0.9514947788,2
1800,6.2,0.9513479398,2
1800,6.225,0.9512011318,2
1800,6.25,0.9510543547,2
1800,6.275,0.9509076084,2
1800,6.3,0.9507608931,2
1800,6.325,0.9506142086,2
1800,6.35,0.9504675551,2
1800,6.375,0.9503209324,2
1800,6.4,0.9501743407,2
