# p2d-jump-short — Pseudo-2D hydraulic jump at x = 120 m, B1, 200 m
# SWASHES 3.5.4; Delestre et al. 2013, doi 10.1002/fld.3741
# Independent Python implementation (swasheslib/analytic.py); no SWASHES-tool output vendored.
# grid: 8001 stations (20x model resolution nx=400)
t_s,x_m,h_m,q_m2_per_s
1800,0,0.7,2.085598161
1800,0.025,0.7000375023,2.0857098
1800,0.05,0.7000750094,2.085821562
1800,0.075,0.7001125211,2.085933449
1800,0.1,0.7001500375,2.086045459
1800,0.125,0.7001875586,2.086157593
1800,0.15,0.7002250844,2.086269851
1800,0.175,0.7002626149,2.086382233
1800,0.2,0.7003001501,2.08649474
1800,0.225,0.7003376899,2.08660737
1800,0.25,0.7003752345,2.086720126
1800,0.275,0.7004127837,2.086833006
1800,0.3,0.7004503377,2.08694601
1800,0.325,0.7004878963,2.08705914
1800,0.35,0.7005254596,2.087172394
1800,0.375,0.7005630277,2.087285774
1800,0.4,0.7006006004,2.087399278
1800,0.425,0.7006381778,2.087512908
1800,0.45,0.7006757599,2.087626663
1800,0.475,0.7007133468,2.087740544
1800,0.5,0.7007509383,2.08785455
1800,0.525,0.7007885345,2.087968682
1800,0.55,0.7008261354,2.088082939
1800,0.575,0.700863741,2.088197323
1800,0.6,0.7009013514,2.088311833
1800,0.625,0.7009389664,2.088426468
1800,0.65,0.7009765861,2.08854123
1800,0.675,0.7010142105,2.088656118
1800,0.7,0.7010518396,2.088771133
1800,0.725,0.7010894735,2.088886274
1800,0.75,0.701127112,2.089001542
1800,0.775,0.7011647553,2.089116936
1800,0.8,0.7012024032,2.089232458
1800,0.825,0.7012400559,2.089348106
1800,0.85,0.7012777132,2.089463882
1800,0.875,0.7013153753,2.089579785
1800,0.9,0.7013530421,2.089695815
1800,0.925,0.7013907135,2.089811972
1800,0.95,0.7014283897,2.089928257
1800,0.975,0.7014660706,2.09004467
1800,1,0.7015037563,2.09016121
1800,1.025,0.7015414466,2.090277879
1800,1.05,0.7015791416,2.090394675
1800,1.075,0.7016168414,2.090511599
1800,1.1,0.7016545458,2.090628652
1800,1.125,0.701692255,2.090745833
1800,1.15,0.7017299689,2.090863142
1800,1.175,0.7017676875,2.09098058
1800,1.2,0.7018054108,2.091098146
1800,1.225,0.7018431389,2.091215841
1800,1.25,0.7018808716,2.091333665
1800,1.275,0.7019186091,2.091451618
1800,1.3,0.7019563513,2.0915697
1800,1.325,0.7019940982,2.091687912
1800,1.35,0.7020318498,2.091806252
1800,1.375,0.7020696061,2.091924722
1800,1.4,0.7021073672,2.092043322
1800,1.425,0.702145133,2.092162051
1800,1.45,0.7021829035,2.092280909
1800,1.475,0.7022206787,2.092399898
1800,1.5,0.7022584586,2.092519017
1800,1.525,0.7022962433,2.092638265
1800,1.55,0.7023340327,2.092757644
1800,1.575,0.7023718268,2.092877154
1800,1.6,0.7024096257,2.092996793
1800,1.625,0.7024474292,2.093116563
1800,1.65,0.7024852375,2.093236464
